Year,Player,Team,Position,Bid_Amount
2021,Tom Brady,Chula Vista Chupacabras,N/A,3
2021,Laviska Shenault Jr.,Chula Vista Chupacabras,N/A,3
2021,AJ Dillon,Pasco Pounders,N/A,2
2021,Matthew Stafford,Goleta Gringos,N/A,3
2021,James Conner,Pasco Pounders,N/A,2
2021,Tyler Boyd,Poulsbo Polliwogs,N/A,1
2021,Robby Anderson,Tijuana Sanchitos,N/A,3
2021,William Fuller V,Tijuana Sanchitos,N/A,1
2021,Noah Fant,Tijuana Sanchitos,N/A,2
2021,Michael Gallup,Poulsbo Polliwogs,N/A,2
2021,Jamaal Williams,Poulsbo Polliwogs,N/A,2
2021,Bills D/ST,Squaw Valley Skinners,N/A,1
2021,Corey Davis,Pasco Pounders,N/A,2
2021,Kenyan Drake,DC Mighty Cucks,N/A,1
2021,Baker Mayfield,Tittsburgh Feelers,N/A,1
2021,Michael Carter,Fairview Fat Cats,N/A,2
2021,Deebo Samuel,Poulsbo Polliwogs,N/A,2
2021,David Johnson,Honolulu Horndogs,N/A,1
2021,Panthers D/ST,Tijuana Sanchitos,N/A,1
2021,Robert Tonyan,Pasco Pounders,N/A,1
2021,Ja'Marr Chase,Tittsburgh Feelers,N/A,2
2021,Damien Harris,DC Mighty Cucks,N/A,6
2021,Brandin Cooks,Squaw Valley Skinners,N/A,1
2021,Zack Moss,Chula Vista Chupacabras,N/A,1
2021,Michael Thomas,DC Mighty Cucks,N/A,6
2021,Mike Williams,Squaw Valley Skinners,N/A,2
2021,Marquise Brown,Pasco Pounders,N/A,2
2021,Dolphins D/ST,Squaw Valley Skinners,N/A,2
2021,Curtis Samuel,Tittsburgh Feelers,N/A,2
2021,DJ Chark Jr.,Tijuana Sanchitos,N/A,1
2021,Leonard Fournette,Pasco Pounders,N/A,4
2021,Mecole Hardman,Westeros  Warlords,N/A,1
2021,Phillip Lindsay,Fairview Fat Cats,N/A,1
2021,Michael Pittman Jr.,Tijuana Sanchitos,N/A,2
2021,Darnell Mooney,Chula Vista Chupacabras,N/A,1
2021,Trevor Lawrence,DC Mighty Cucks,N/A,1
2021,Devin Singletary,Tittsburgh Feelers,N/A,1
2021,Nyheim Hines,Goleta Gringos,N/A,1
