year,week,home_team_id,home_team_score,away_team_id,away_team_score,winner_team_id
2023,4,9,133.54,3,120.72,
2023,5,13,130.04,7,64.82,
2023,5,1,87.12,11,89.06,
2023,5,8,108.04,4,163.66,
2023,5,14,121.7,2,110.32,
2023,5,6,74.34,9,47.38,
2023,5,10,90.78,3,82.48,
2023,6,7,92.18,2,81.8,
2023,6,11,92.44,9,88.8,
2023,6,4,56.66,3,115.4,
2023,6,8,92.78,10,59.62,
2023,6,1,66.94,6,80.12,
2023,6,13,102.74,14,86.44,
2023,7,2,79.36,11,76.66,
2023,7,9,89.1,4,76.5,
2023,7,3,57.08,8,88.56,
2023,7,10,101.96,1,61.66,
2023,7,6,125.88,13,96.06,
2023,7,14,80.04,7,74.74,
2023,8,4,114.06,2,77.36,
2023,8,8,113.72,9,108.72,
2023,8,1,120.06,3,86.6,
2023,8,13,91.1,10,54.78,
2023,8,7,134.26,6,84.98,
2023,8,11,66.9,14,82.48,
2023,9,2,111.18,8,84.84,
2023,9,9,77.52,1,123.9,
2023,9,3,71.04,13,67.9,
2023,9,10,65.18,7,93.84,
2023,9,6,68.88,11,115.0,
2023,9,14,65.98,4,98.42,
2023,10,1,108.92,2,83.42,
2023,10,13,63.0,9,77.08,
2023,10,7,58.66,3,76.54,
2023,10,11,96.64,10,86.56,
2023,10,4,86.28,6,90.72,
2023,10,8,153.42,14,104.3,
2023,11,2,83.9,13,73.18,
2023,11,9,98.66,7,109.3,
2023,11,3,58.02,11,98.54,
2023,11,10,93.46,4,112.4,
2023,11,6,75.96,8,89.2,
2023,11,14,135.18,1,103.64,
2023,12,4,124.86,7,71.92,
2023,12,13,69.92,1,100.6,
2023,12,11,93.36,8,98.68,
2023,12,3,108.96,2,106.8,
2023,12,14,104.36,6,104.68,
2023,12,9,126.14,10,78.08,
2023,13,7,118.56,8,91.88,
2023,13,13,96.5,11,99.5,
2023,13,1,118.12,4,99.14,
2023,13,14,124.62,9,108.36,
2023,13,2,67.72,10,82.58,
2023,13,6,91.48,3,101.96,
2023,14,1,95.22,7,63.04,
2023,14,8,79.54,13,63.34,
2023,14,4,106.62,11,104.04,
2023,14,6,88.5,2,68.58,
2023,14,10,84.92,14,91.8,
2023,14,9,86.74,3,102.22,
2023,16,8,128.72,7,83.62,
2023,16,3,81.3,14,65.34,
2023,16,4,114.76,6,84.22,
2023,16,11,90.78,13,114.2,
2023,16,1,82.26,2,61.34,
2023,16,9,100.52,10,78.4,
2023,17,8,138.18,3,75.3,
2023,17,7,77.02,14,115.88,
2023,17,4,78.46,6,88.86,
2023,17,1,82.18,13,92.9,
2023,17,11,132.34,9,64.2,
2023,17,10,87.32,2,112.28,
2024,1,11,102.88,7,70.22,
2024,1,13,135.76,4,112.46,
2024,1,1,88.84,8,68.28,
